Timestamp,Gyro X,Gyro Y,Gyro Z,Acc X,Acc Y,Acc Z,Motor M2,Motor M3,Battery Level
17.252,-0.17419567704200745,-1.2405154705047607,0.11052365601062775,0.11387848109006882,-0.11915384232997894,0.982040286064148,,,
,,,,,,,32767.0,32767.0,90.0
17.262,-1.5322986841201782,0.45596498250961304,-0.47862011194229126,0.10959768295288086,-0.11886413395404816,0.9884338974952698,,,
,,,,,,,32767.0,32767.0,90.0
17.272,0.259826123714447,-0.8943136930465698,-0.6099632382392883,0.10291720926761627,-0.11267401278018951,0.9882155060768127,,,
,,,,,,,32767.0,32767.0,90.0
17.282,-1.1285332441329956,-3.167773485183716,-0.6735938787460327,0.10880563408136368,-0.11032465100288391,0.9866131544113159,,,
,,,,,,,32767.0,32767.0,90.0
17.292,1.3400882482528687,-1.0956541299819946,-0.8301402926445007,0.10348989814519882,-0.11593469977378845,0.9856257438659668,,,
,,,,,,,32767.0,32767.0,90.0
17.302,1.3155184984207153,-0.40841060876846313,-0.5229348540306091,0.1075417548418045,-0.10528155416250229,0.985883891582489,,,
,,,,,,,32767.0,32767.0,90.0
17.312,0.2975541055202484,-0.5393812656402588,0.6027633547782898,0.10569881647825241,-0.09895270317792892,0.9839133024215698,,,
,,,,,,,32767.0,32767.0,90.0
17.322,-0.42410433292388916,-0.1914553940296173,1.1410574913024902,0.10414932668209076,-0.1092696413397789,0.989616870880127,,,
,,,,,,,32767.0,32767.0,90.0
17.332,-1.5390640497207642,0.9174716472625732,0.9767583608627319,0.1002918928861618,-0.13605526089668274,0.9977504014968872,,,
,,,,,,,32767.0,32767.0,90.0
17.342,-0.585031270980835,1.2490628957748413,-0.20548970997333527,0.10513695329427719,-0.13495928049087524,0.992401659488678,,,
,,,,,,,32767.0,32767.0,90.0
17.352,0.806157648563385,0.7460340857505798,-0.7571581602096558,0.10423368215560913,-0.11334328353404999,0.979200541973114,,,
,,,,,,,32767.0,32767.0,90.0
17.362,0.9215958714485168,-0.5617446899414062,-1.4301941394805908,0.10323638468980789,-0.09473054856061935,0.9792304039001465,,,
,,,,,,,32767.0,32767.0,90.0
17.372,-0.42470645904541016,-1.2256855964660645,0.22958169877529144,0.10245037078857422,-0.07757443189620972,0.9786990284919739,,,
,,,,,,,32767.0,32767.0,90.0
17.382,-0.4172200858592987,-0.48422107100486755,1.4280520677566528,0.10411407053470612,-0.10466206818819046,0.9861132502555847,,,
,,,,,,,32767.0,32767.0,90.0
17.392,0.2558898329734802,-0.08280667662620544,0.7508482933044434,0.1054096445441246,-0.14653539657592773,0.9962860345840454,,,
,,,,,,,32767.0,32767.0,90.0
17.402,0.7568328976631165,0.2676834166049957,-0.36658528447151184,0.10440082848072052,-0.1345348358154297,0.9920539855957031,,,
,,,,,,,32767.0,32767.0,90.0
17.412,-0.0994841679930687,0.22367306053638458,-0.07756836712360382,0.10229117423295975,-0.10767052322626114,0.9871609807014465,,,
,,,,,,,32767.0,32767.0,90.0
17.422,-0.1396733522415161,0.7183188199996948,-0.2935257852077484,0.10510549694299698,-0.10103181004524231,0.9839285612106323,,,
,,,,,,,32767.0,32767.0,90.0
17.432,0.11780321598052979,0.40458235144615173,-0.4305240511894226,0.10661548376083374,-0.10616005957126617,0.9845373630523682,,,
,,,,,,,32767.0,32767.0,90.0
