time,roll,pitch,yaw
200605,-0.5123652815818787,0.6284183859825134,2.93217396736145
200615,-0.5121636390686035,0.6300743222236633,2.933598041534424
200625,-0.5122194886207581,0.6293967366218567,2.934401035308838
200635,-0.5119774341583252,0.6277590394020081,2.933086633682251
200645,-0.5129660964012146,0.6261054277420044,2.931536912918091
200655,-0.5132381319999695,0.6263686418533325,2.9315438270568848
200665,-0.5133184790611267,0.6248714923858643,2.9309003353118896
200675,-0.5134150385856628,0.6233149170875549,2.9296140670776367
200685,-0.5130617618560791,0.6223751902580261,2.929333209991455
200695,-0.5123215913772583,0.6211627125740051,2.9303081035614014
200705,-0.5130652189254761,0.6206498742103577,2.929603338241577
200715,-0.5135864615440369,0.6180513501167297,2.9290285110473633
200725,-0.5145169496536255,0.617795467376709,2.925457000732422
200735,-0.5185164213180542,0.6214962601661682,2.909029960632324
200745,-0.5332216024398804,0.6406731605529785,2.8268041610717773
200755,-0.5567491054534912,0.6673536896705627,2.7755258083343506
200765,-0.6137256026268005,0.7315900921821594,2.7410216331481934
200775,-0.6628687977790833,0.8003627061843872,2.7458865642547607
200785,-0.7820402979850769,0.9860286712646484,2.73469614982605
200795,-0.8867971301078796,1.143814206123352,2.7079241275787354
200805,-1.0301622152328491,1.4809242486953735,2.591609239578247
200815,-1.1195216178894043,1.7697981595993042,2.474790334701538
200825,-1.2485829591751099,2.3439273834228516,2.274557590484619
200835,-1.3284568786621094,2.840562343597412,2.1221747398376465
200845,-1.404678463935852,3.7359461784362793,1.8080323934555054
200855,-1.4136706590652466,4.407784461975098,1.4871412515640259
200865,-1.4234446287155151,5.495209217071533,0.9448601603507996
200875,-1.5458413362503052,6.19687557220459,0.635641872882843
200885,-2.0297727584838867,7.117498874664307,0.274945467710495
200895,-2.6145801544189453,7.583867073059082,0.10941841453313828
200905,-3.933759927749634,7.954477787017822,0.011085809208452702
200915,-5.040027618408203,7.8850998878479,0.03887908533215523
200925,-6.907104015350342,7.235586643218994,0.18550220131874084
200935,-8.192599296569824,6.5098161697387695,0.3150597810745239
200945,-9.9396390914917,5.165716171264648,0.47082066535949707
200955,-10.907801628112793,4.205451488494873,0.5367886424064636
200965,-12.057748794555664,2.760420322418213,0.6058692932128906
200975,-12.671161651611328,1.8227163553237915,0.6500841975212097
200985,-13.464923858642578,0.5038978457450867,0.7500344514846802
200995,-13.952009201049805,-0.2864505648612976,0.8236558437347412
201005,-14.666801452636719,-1.4083236455917358,0.8085198998451233
201015,-15.151494979858398,-2.2374868392944336,0.6496871113777161
201025,-15.992659568786621,-3.7585437297821045,0.17696928977966309
201035,-16.717641830444336,-4.9803147315979,-0.23858872056007385
201045,-18.150068283081055,-6.974184989929199,-0.9965811371803284
201055,-19.350282669067383,-8.312699317932129,-1.6130858659744263
201065,-21.466197967529297,-10.217948913574219,-2.7147746086120605
201075,-23.044734954833984,-11.365355491638184,-3.5731587409973145
201085,-25.48943519592285,-12.888168334960938,-5.066920757293701
201095,-27.099838256835938,-13.7973051071167,-6.2392964363098145
201105,-29.525222778320312,-15.067459106445312,-8.211152076721191
201115,-31.22455596923828,-15.886932373046875,-9.620634078979492
201125,-34.08360290527344,-17.090221405029297,-11.926910400390625
201135,-36.332881927490234,-17.891490936279297,-13.653376579284668
201145,-40.30257034301758,-19.104812622070312,-16.59758186340332
201155,-43.270904541015625,-19.910463333129883,-18.79433822631836
201165,-47.79528045654297,-21.026973724365234,-22.153345108032227
201175,-50.502197265625,-21.653202056884766,-24.209842681884766
201185,-53.66951370239258,-22.482786178588867,-26.708799362182617
201195,-55.152015686035156,-23.03876304626465,-27.916858673095703
201205,-56.6943359375,-23.949419021606445,-29.106985092163086
201215,-57.40912628173828,-24.625442504882812,-29.59278106689453
201225,-58.10963439941406,-25.714717864990234,-30.099267959594727
201235,-58.34025573730469,-26.472776412963867,-30.394634246826172
201245,-58.32014846801758,-27.589698791503906,-30.8857364654541
201255,-58.117366790771484,-28.266817092895508,-31.26443862915039
201265,-57.62446212768555,-29.07508659362793,-31.834951400756836
201275,-57.179237365722656,-29.460020065307617,-32.146141052246094
201285,-56.2260856628418,-29.81938362121582,-32.35970687866211
201295,-55.274818420410156,-29.93954849243164,-32.25820541381836
201305,-53.1428108215332,-29.955583572387695,-31.644968032836914
201315,-51.1662712097168,-29.845184326171875,-30.933340072631836
201325,-47.36469650268555,-29.570476531982422,-29.514362335205078
201335,-44.31517791748047,-29.365558624267578,-28.35674476623535
201345,-39.13319396972656,-28.994930267333984,-26.342334747314453
201355,-35.43775177001953,-28.688251495361328,-24.87499237060547
201365,-29.801042556762695,-28.11813735961914,-22.547760009765625
201375,-26.096097946166992,-27.62175941467285,-20.941221237182617
201385,-20.697856903076172,-26.55560874938965,-18.51483154296875
201395,-17.176918029785156,-25.53223419189453,-16.936555862426758
201405,-11.953668594360352,-23.408294677734375,-14.74694538116455
201415,-8.578788757324219,-21.579572677612305,-13.470736503601074
201425,-3.7186169624328613,-18.41995620727539,-11.835407257080078
201435,-0.5401108264923096,-16.240337371826172,-10.894824981689453
201445,4.243542671203613,-13.184903144836426,-9.616052627563477
201455,7.542604923248291,-11.37969970703125,-8.807206153869629
201465,12.750732421875,-8.898235321044922,-7.687758445739746
201475,16.339859008789062,-7.302074909210205,-7.0334391593933105
201485,21.725177764892578,-4.840739727020264,-6.19777250289917
201495,25.169937133789062,-3.0773611068725586,-5.757275104522705
201505,30.004562377929688,-0.1438448280096054,-5.354837417602539
201515,32.990013122558594,2.0789222717285156,-5.323080062866211
201525,37.24632263183594,5.832898139953613,-5.724047660827637
201535,40.004600524902344,8.468295097351074,-6.309442043304443
201545,42.726722717285156,10.976873397827148,-7.024230003356934
201555,46.66423034667969,14.200309753417969,-7.86557149887085
201565,50.16990661621094,16.71706199645996,-7.934096336364746
201575,52.1576042175293,18.165607452392578,-7.542178630828857
201585,53.895362854003906,19.587732315063477,-6.998396396636963
201595,56.23926544189453,21.852283477783203,-6.332602024078369
201605,57.72604751586914,23.491687774658203,-6.151455879211426
201615,59.68739700317383,26.152259826660156,-6.263915538787842
201625,60.62743377685547,27.995241165161133,-6.475865364074707
201635,61.29296112060547,30.638093948364258,-6.691741466522217
201645,61.3714485168457,32.18000793457031,-6.631655216217041
201655,61.41062545776367,34.106807708740234,-6.260937213897705
201665,61.58243942260742,35.166404724121094,-5.873528480529785
201675,62.07178497314453,36.47163391113281,-5.190948486328125
201685,62.413604736328125,37.14019012451172,-4.7145304679870605
201695,62.584373474121094,37.81142807006836,-3.893752098083496
201705,62.30718231201172,38.0750617980957,-3.21311092376709
201715,61.3317985534668,38.22270584106445,-2.085101842880249
201725,60.5003776550293,38.15830612182617,-1.3239291906356812
201735,59.246124267578125,37.84407424926758,-0.17515133321285248
201745,58.397132873535156,37.4776725769043,0.6687372922897339
201755,56.848731994628906,36.62786102294922,2.277672290802002
201765,55.48468780517578,35.813392639160156,3.6632659435272217
201775,52.72200012207031,34.21927261352539,6.238501071929932
201785,50.26839828491211,32.92068862915039,8.285954475402832
201795,45.609195709228516,30.604658126831055,11.859562873840332
201805,42.12276077270508,28.80678367614746,14.454752922058105
201815,37.08205032348633,25.704559326171875,18.35670280456543
201825,34.139530181884766,23.345294952392578,20.87325668334961
201835,30.460683822631836,19.3377685546875,24.379684448242188
201845,28.445785522460938,16.35894012451172,26.454853057861328
201855,26.074533462524414,11.501338005065918,28.978595733642578
201865,24.881559371948242,8.146723747253418,30.184982299804688
201875,23.59280776977539,3.150230646133423,31.20452308654785
201885,23.00124740600586,-0.12651444971561432,31.3815860748291
201895,22.274080276489258,-5.122323036193848,31.0225830078125
201905,21.694608688354492,-8.62826919555664,30.517610549926758
201915,20.516292572021484,-14.236639022827148,29.434280395507812
201925,19.51226806640625,-18.12459373474121,28.44476890563965
201935,17.628297805786133,-23.998764038085938,26.490921020507812
201945,16.06000518798828,-27.904766082763672,24.83982276916504
201955,13.015039443969727,-33.637123107910156,21.736587524414062
201965,10.485737800598145,-37.281219482421875,19.232648849487305
201975,5.961629867553711,-42.35885238647461,14.858648300170898
201985,2.631847381591797,-45.35310745239258,11.714771270751953
201995,-2.6264524459838867,-49.089054107666016,7.0423359870910645
202005,-6.2380475997924805,-51.05552673339844,4.083435535430908
202015,-11.754206657409668,-53.15554428100586,-0.10739476978778839
202025,-15.380105018615723,-53.993736267089844,-2.742112398147583
202035,-20.481090545654297,-54.56974792480469,-6.428718566894531
202045,-23.68355941772461,-54.660823822021484,-8.800909042358398
202055,-28.29144859313965,-54.69259262084961,-12.396306037902832
202065,-31.36949920654297,-54.78929138183594,-14.9442777633667
202075,-36.313140869140625,-55.096858978271484,-19.221162796020508
202085,-39.96786880493164,-55.3538932800293,-22.476110458374023
202095,-45.846004486083984,-55.56120681762695,-27.912982940673828
202105,-49.72257995605469,-55.42171859741211,-31.687015533447266
202115,-54.9930305480957,-54.78731918334961,-37.160797119140625
202125,-58.01075744628906,-54.19404220581055,-40.4322395324707
202135,-61.84359359741211,-53.29011917114258,-44.5036735534668
202145,-64.0562973022461,-52.7908821105957,-46.70406723022461
202155,-66.94091033935547,-52.26609420776367,-49.383968353271484
202165,-68.5334701538086,-52.023319244384766,-50.8491096496582
202175,-70.33445739746094,-51.70702362060547,-52.66936111450195
202185,-71.1817626953125,-51.50334548950195,-53.68193054199219
202195,-72.1064682006836,-51.16474151611328,-55.10479736328125
202205,-72.64874267578125,-50.889320373535156,-56.175445556640625
202215,-73.59392547607422,-50.327335357666016,-58.05828857421875
202225,-74.35240173339844,-49.77650833129883,-59.39657211303711
202235,-75.5716323852539,-48.68912124633789,-61.38542938232422
202245,-76.32842254638672,-47.8764762878418,-62.62287521362305
202255,-77.20035552978516,-46.70620346069336,-64.14557647705078
202265,-77.5126724243164,-46.018917083740234,-64.89434051513672
202275,-77.41885375976562,-45.19330596923828,-65.6162109375
202285,-76.936767578125,-44.808876037597656,-65.82313537597656
202295,-75.69376373291016,-44.49360275268555,-65.82757568359375
202305,-74.64436340332031,-44.438636779785156,-65.71244049072266
202315,-72.84313201904297,-44.497982025146484,-65.44171142578125
202325,-71.45504760742188,-44.55785369873047,-65.19734191894531
202335,-69.06412506103516,-44.55587387084961,-64.7371826171875
202345,-67.28657531738281,-44.488685607910156,-64.39739990234375
202355,-64.26310729980469,-44.31108856201172,-63.7607421875
202365,-61.946189880371094,-44.136539459228516,-63.16199493408203
202375,-57.88080978393555,-43.77981948852539,-61.80657958984375
202385,-54.642086029052734,-43.446468353271484,-60.50040817260742
202395,-49.070655822753906,-42.77177429199219,-58.02671432495117
202405,-45.09552764892578,-42.2777099609375,-56.193782806396484
202415,-39.11064147949219,-41.60186767578125,-53.332984924316406
202425,-35.137325286865234,-41.175209045410156,-51.3753662109375
202435,-28.982954025268555,-40.42340087890625,-48.341636657714844
202445,-24.65899085998535,-39.75218963623047,-46.23870086669922
202455,-17.93479347229004,-38.22966003417969,-42.94854736328125
202465,-13.474400520324707,-36.77523422241211,-40.74184036254883
202475,-7.0302510261535645,-34.035133361816406,-37.65758514404297
202485,-2.9345266819000244,-31.9676456451416,-35.835533142089844
202495,2.8000736236572266,-28.77048683166504,-33.56992721557617
202505,6.167308330535889,-26.71095848083496,-32.481563568115234
202515,10.375530242919922,-23.83206558227539,-31.51773452758789
202525,12.674614906311035,-22.05283546447754,-31.273237228393555
202535,15.698603630065918,-19.591711044311523,-31.323867797851562
202545,17.697731018066406,-18.116615295410156,-31.454914093017578
202555,21.012752532958984,-16.07502555847168,-31.51392936706543
202565,23.488018035888672,-14.694700241088867,-31.343961715698242
202575,27.45647621154785,-12.314413070678711,-30.76000213623047
202585,30.12963104248047,-10.374733924865723,-30.24135971069336
202595,33.99901580810547,-6.908463478088379,-29.508028030395508
202605,36.44842529296875,-4.402493953704834,-29.10793685913086
202615,39.79231262207031,-0.7163167595863342,-28.63882064819336
202625,41.770381927490234,1.533562421798706,-28.390352249145508
202635,44.4266471862793,4.435216426849365,-27.963319778442383
202645,45.99040985107422,6.114591598510742,-27.617616653442383
202655,48.156097412109375,8.441858291625977,-27.006397247314453
202665,49.517539978027344,9.955970764160156,-26.68480110168457
202675,51.5608024597168,12.250070571899414,-26.471561431884766
202685,52.84964370727539,13.850976943969727,-26.542146682739258
202695,54.44686508178711,16.215213775634766,-26.855100631713867
202705,55.2254753112793,17.633777618408203,-27.038387298583984
202715,56.07166290283203,19.358516693115234,-27.09086799621582
202725,56.575679779052734,20.24590492248535,-26.966384887695312
202735,57.471961975097656,21.30965232849121,-26.613704681396484
202745,58.25517654418945,21.95259666442871,-26.32917022705078
202755,59.73225021362305,23.014963150024414,-25.832002639770508
202765,60.809326171875,23.86477279663086,-25.38365364074707
202775,62.09256362915039,25.344484329223633,-24.597469329833984
202785,62.539306640625,26.379756927490234,-23.961515426635742
202795,62.54136276245117,27.873210906982422,-23.008197784423828
202805,62.1972770690918,28.744983673095703,-22.398876190185547
202815,61.31325912475586,29.789981842041016,-21.393739700317383
202825,60.568050384521484,30.308429718017578,-20.54433822631836
202835,59.420166015625,30.886653900146484,-19.027658462524414
202845,58.74773025512695,31.209814071655273,-17.94721794128418
202855,57.891536712646484,31.655071258544922,-16.368940353393555
202865,57.31866455078125,31.905302047729492,-15.382533073425293
202875,56.12799835205078,32.134300231933594,-13.941717147827148
202885,54.92530822753906,32.100460052490234,-12.822124481201172
202895,52.332435607910156,31.610492706298828,-10.645901679992676
202905,50.123291015625,30.927656173706055,-8.847929954528809
202915,46.57958221435547,29.372739791870117,-5.925271511077881
202925,44.27500534057617,28.10984230041504,-4.042235851287842
202935,40.87957763671875,26.00553321838379,-1.388051986694336
202945,38.45752716064453,24.4470272064209,0.36117345094680786
202955,34.17523956298828,21.878711700439453,3.0159695148468018
202965,30.856552124023438,19.974620819091797,4.796274185180664
202975,25.458139419555664,16.83875274658203,7.367254257202148
202985,21.784481048583984,14.641470909118652,8.97188663482666
202995,16.347755432128906,11.434294700622559,11.18494701385498
203005,12.866463661193848,9.476850509643555,12.534419059753418
203015,8.101624488830566,6.944182872772217,14.31929874420166
203025,5.373584270477295,5.587092876434326,15.308521270751953
203035,2.044020891189575,4.088753700256348,16.3905029296875
203045,0.2553662061691284,3.3256309032440186,16.828102111816406
203055,-2.0552453994750977,2.1168570518493652,17.136003494262695
203065,-3.5661866664886475,1.047967791557312,17.184614181518555
203075,-6.111771106719971,-1.1062967777252197,17.04473304748535
203085,-8.045024871826172,-2.915123701095581,16.801166534423828
203095,-11.272425651550293,-5.902725696563721,16.12608528137207
203105,-13.58460807800293,-7.877837181091309,15.385346412658691
203115,-15.852880477905273,-9.76242446899414,14.404594421386719
203125,-18.900049209594727,-12.252607345581055,12.525144577026367
203135,-20.663114547729492,-13.6037015914917,11.06888198852539
203145,-23.14908790588379,-15.16239070892334,8.620601654052734
203155,-24.879657745361328,-16.033323287963867,6.770406246185303
203165,-27.807769775390625,-17.379919052124023,3.6298019886016846
203175,-30.09449577331543,-18.34207534790039,1.3098561763763428
203185,-34.05294418334961,-19.727108001708984,-2.412269353866577
203195,-36.853755950927734,-20.500825881958008,-5.016425132751465
203205,-40.945640563964844,-21.22473907470703,-9.008859634399414
203215,-43.536983489990234,-21.3454532623291,-11.645634651184082
203225,-47.2689323425293,-20.975948333740234,-15.484106063842773
203235,-49.705204010009766,-20.41012191772461,-17.965595245361328
203245,-53.31531524658203,-19.197925567626953,-21.623497009277344
203255,-55.676048278808594,-18.212175369262695,-24.062366485595703
203265,-59.12158203125,-16.541574478149414,-27.72785186767578
203275,-61.370391845703125,-15.311883926391602,-30.099227905273438
203285,-64.66092681884766,-13.387901306152344,-33.39142990112305
203295,-66.7079086303711,-12.101426124572754,-35.33563995361328
203305,-69.35751342773438,-10.25611686706543,-37.7895393371582
203315,-70.78935241699219,-9.117341995239258,-39.0829963684082
203325,-72.39973449707031,-7.558444976806641,-40.54494857788086
203335,-73.1224365234375,-6.636130332946777,-41.333194732666016
203345,-73.73096466064453,-5.523863315582275,-42.57534408569336
203355,-73.88221740722656,-5.016226291656494,-43.588844299316406
203365,-73.87892150878906,-4.637531280517578,-45.32057189941406
203375,-73.76166534423828,-4.628811359405518,-46.40975570678711
203385,-73.36473083496094,-4.887374401092529,-47.538169860839844
203395,-72.86324310302734,-5.203524589538574,-47.856719970703125
203405,-71.63282012939453,-5.86631441116333,-47.775146484375
203415,-70.44953918457031,-6.390554428100586,-47.45011520385742
203425,-68.15473937988281,-7.268671989440918,-46.81000900268555
203435,-66.34556579589844,-7.949433326721191,-46.43290328979492
203445,-63.331153869628906,-9.164053916931152,-46.06437301635742
203455,-61.15446090698242,-10.075743675231934,-45.924747467041016
203465,-57.64607238769531,-11.475641250610352,-45.77494812011719
203475,-55.16175079345703,-12.331276893615723,-45.64347839355469
203485,-51.31739807128906,-13.328455924987793,-45.34329605102539
203495,-48.78090286254883,-13.728100776672363,-45.103084564208984
203505,-45.24623107910156,-13.898636817932129,-44.813289642333984
203515,-43.17728042602539,-13.741599082946777,-44.72665786743164
203525,-40.537437438964844,-13.13179874420166,-44.777587890625
203535,-38.961971282958984,-12.510977745056152,-44.87058639526367
203545,-36.43231964111328,-11.381442070007324,-44.907588958740234
203555,-34.37770462036133,-10.534976959228516,-44.78738784790039
203565,-30.639787673950195,-9.159652709960938,-44.442466735839844
203575,-27.84316062927246,-8.245635986328125,-44.188514709472656
203585,-23.611791610717773,-6.942818641662598,-43.85291290283203
203595,-20.96063995361328,-6.120821952819824,-43.68399429321289
203605,-17.257915496826172,-4.979039192199707,-43.54447555541992
203615,-14.863150596618652,-4.243475437164307,-43.52097702026367
203625,-11.172760963439941,-3.1338706016540527,-43.547119140625
203635,-8.59398365020752,-2.3847615718841553,-43.54840087890625
203645,-4.699487686157227,-1.2129790782928467,-43.46269989013672
203655,-2.220353364944458,-0.42796576023101807,-43.34257507324219
203665,1.106601357460022,0.7658693790435791,-43.152469635009766
203675,2.9568727016448975,1.5901892185211182,-43.02924346923828
203685,5.244911193847656,2.8750150203704834,-42.77969741821289
203695,6.651276111602783,3.7850353717803955,-42.51622009277344
203705,8.931015014648438,5.226686477661133,-41.8833122253418
203715,10.680440902709961,6.23378849029541,-41.302371978759766
203725,13.59552001953125,7.794969081878662,-40.27730178833008
203735,15.620457649230957,8.834922790527344,-39.5252799987793
203745,18.635147094726562,10.385226249694824,-38.39471435546875
203755,20.596595764160156,11.445747375488281,-37.725013732910156
203765,23.52074432373047,13.335012435913086,-36.84507369995117
203775,25.604393005371094,14.999814987182617,-36.487640380859375
203785,28.646039962768555,18.02993392944336,-36.149436950683594
203795,30.335573196411133,20.163545608520508,-35.928871154785156
203805,32.05573654174805,22.87932586669922,-35.340946197509766
203815,32.78968048095703,24.189903259277344,-34.754329681396484
203825,33.80437469482422,25.58626937866211,-33.88713455200195
203835,34.67603302001953,26.322391510009766,-33.468563079833984
203845,36.30072784423828,27.291807174682617,-33.116764068603516
203855,37.44131088256836,27.86463737487793,-33.06612014770508
203865,38.87736129760742,28.500411987304688,-33.173248291015625
203875,39.52862548828125,28.694740295410156,-33.28125
203885,40.01719665527344,28.708694458007812,-33.44124221801758
203895,40.02337646484375,28.670494079589844,-33.51652145385742
203905,39.603572845458984,28.672077178955078,-33.47032928466797
203915,39.08356857299805,28.66893196105957,-33.23170471191406
203925,38.029476165771484,28.542329788208008,-32.402889251708984
203935,37.19799041748047,28.402650833129883,-31.489871978759766
203945,35.98276138305664,28.345930099487305,-29.740262985229492
203955,35.368385314941406,28.5217342376709,-28.480796813964844
203965,34.91399383544922,29.068256378173828,-26.733266830444336
