Timestamp,Gyro X,Gyro Y,Gyro Z,Acc X,Acc Y,Acc Z,Motor M2,Motor M3,Battery Level
56.268,0.4313029646873474,0.1077098622918129,2.2870090007781982,-0.21004346013069153,0.11902416497468948,0.9183566570281982,,,
,,,,,,,32767.0,32767.0,90.0
56.278,-1.919052243232727,-1.3497825860977173,5.87162971496582,-0.1851324439048767,0.08633697032928467,1.007896065711975,,,
,,,,,,,32767.0,32767.0,90.0
56.288,-2.0953314304351807,-5.042748928070068,3.3809266090393066,-0.18576258420944214,0.03847341239452362,1.0058009624481201,,,
,,,,,,,32767.0,32767.0,90.0
56.298,3.526336669921875,-2.283825397491455,-2.3249635696411133,-0.1864652782678604,0.011095186695456505,0.9251381754875183,,,
,,,,,,,32767.0,32767.0,90.0
56.308,4.675421237945557,-3.3578455448150635,-5.886086463928223,-0.18124906718730927,0.030264584347605705,0.9415388107299805,,,
,,,,,,,32767.0,32767.0,90.0
56.318,5.042102813720703,-1.1464840173721313,-4.294338703155518,-0.18030016124248505,0.08029134571552277,0.9602822065353394,,,
,,,,,,,32767.0,32767.0,90.0
56.328,3.181001663208008,-1.6402897834777832,-0.5738233923912048,-0.1754479557275772,0.10362447053194046,0.9941205978393555,,,
,,,,,,,32767.0,32767.0,90.0
56.338,0.29767847061157227,-2.789433717727661,3.9241092205047607,-0.18601222336292267,0.09062458574771881,0.9958915114402771,,,
,,,,,,,32767.0,32767.0,90.0
56.348,0.6461101770401001,-2.0814478397369385,4.487058639526367,-0.18403638899326324,0.0479716882109642,0.9761028289794922,,,
,,,,,,,32767.0,32767.0,90.0
56.358,2.4808621406555176,-3.3805429935455322,0.21768522262573242,-0.1711656153202057,-0.0020550466142594814,0.9758786559104919,,,
,,,,,,,32767.0,32767.0,90.0
56.368,5.325088977813721,-2.368278980255127,-3.396852731704712,-0.16421903669834137,-0.002759575145319104,0.9800801873207092,,,
,,,,,,,32767.0,32767.0,90.0
56.378,5.9017534255981445,-3.4953460693359375,-4.190412998199463,-0.16661028563976288,0.039299942553043365,1.0050671100616455,,,
,,,,,,,32767.0,32767.0,90.0
56.388,4.615870475769043,-3.4492948055267334,-1.9677459001541138,-0.17532788217067719,0.0807143896818161,1.0038052797317505,,,
,,,,,,,32767.0,32767.0,90.0
56.398,2.4548943042755127,-2.632694959640503,2.6644020080566406,-0.1792500913143158,0.09710925817489624,0.986630380153656,,,
,,,,,,,32767.0,32767.0,90.0
56.408,1.3825359344482422,-3.561561346054077,3.9521994590759277,-0.17683210968971252,0.07442688196897507,0.9844884276390076,,,
,,,,,,,32767.0,32767.0,90.0
56.418,2.277902364730835,-3.3820712566375732,2.506300926208496,-0.16756044328212738,0.028843117877840996,0.9747008681297302,,,
,,,,,,,32767.0,32767.0,90.0
56.428,4.1616058349609375,-3.1100215911865234,-0.9473978877067566,-0.16021506488323212,0.00605818023905158,0.9737327098846436,,,
,,,,,,,32767.0,32767.0,90.0
56.438,5.712422847747803,-2.7825400829315186,-3.1300597190856934,-0.16191594302654266,0.02892429195344448,0.971376895904541,,,
,,,,,,,32767.0,32767.0,90.0
56.448,5.3629469871521,-1.4351342916488647,-2.0238983631134033,-0.16702201962471008,0.07273702323436737,0.9767034649848938,,,
,,,,,,,32767.0,32767.0,90.0
56.458,3.0063295364379883,-0.37745702266693115,1.8341785669326782,-0.17295536398887634,0.10756433010101318,0.985990583896637,,,
,,,,,,,32767.0,32767.0,90.0
56.468,1.4027115106582642,-0.2862878143787384,4.438025951385498,-0.173406720161438,0.09588634967803955,0.9836022257804871,,,
,,,,,,,32767.0,32767.0,90.0
56.478,0.8930084109306335,0.002671218477189541,4.007165908813477,-0.1754416674375534,0.057188160717487335,0.9690903425216675,,,
,,,,,,,32767.0,32767.0,90.0
56.488,2.6460723876953125,0.7138218283653259,0.6407888531684875,-0.1725507527589798,0.023529551923274994,0.9520529508590698,,,
,,,,,,,32767.0,32767.0,90.0
56.498,4.1188483238220215,1.6194473505020142,-2.177781105041504,-0.1654965728521347,0.027026183903217316,0.9505975246429443,,,
,,,,,,,32767.0,32767.0,90.0
56.508,4.55232048034668,2.667983293533325,-2.8619556427001953,-0.16749249398708344,0.05442718788981438,0.9597530961036682,,,
,,,,,,,32767.0,32767.0,90.0
56.518,2.853691339492798,3.357386827468872,0.014109274372458458,-0.17889384925365448,0.09836062788963318,0.972384512424469,,,
,,,,,,,32767.0,32767.0,90.0
56.528,1.1218663454055786,3.1915934085845947,3.2154171466827393,-0.18720747530460358,0.11435306817293167,0.9718510508537292,,,
,,,,,,,32767.0,32767.0,90.0
56.538,-0.18226797878742218,2.6792709827423096,4.427520751953125,-0.18159925937652588,0.0861097201704979,0.968502938747406,,,
,,,,,,,32767.0,32767.0,90.0
56.548,0.4770083725452423,2.600029706954956,2.516247272491455,-0.16992820799350739,0.04584375023841858,0.9673287868499756,,,
,,,,,,,32767.0,32767.0,90.0
56.558,1.9666879177093506,2.4960341453552246,-0.8089001178741455,-0.16248753666877747,0.020059505477547646,0.9744963049888611,,,
,,,,,,,32767.0,32767.0,90.0
56.568,2.9625020027160645,2.1489882469177246,-3.0047404766082764,-0.16547246277332306,0.026966845616698265,0.9872492551803589,,,
,,,,,,,32767.0,32767.0,90.0
56.578,2.581181049346924,1.2710363864898682,-2.3650944232940674,-0.17590416967868805,0.060045499354600906,0.9975459575653076,,,
,,,,,,,32767.0,32767.0,90.0
56.588,0.9056233167648315,0.5709637403488159,-0.19242604076862335,-0.1803297996520996,0.08664959669113159,1.0034904479980469,,,
,,,,,,,32767.0,32767.0,90.0
56.598,-0.604337751865387,-0.18572360277175903,2.567272424697876,-0.18672114610671997,0.08453400433063507,1.0021892786026,,,
,,,,,,,32767.0,32767.0,90.0
56.608,-0.6427847743034363,-1.0058798789978027,1.9543665647506714,-0.19963674247264862,0.06289790570735931,0.9897540807723999,,,
,,,,,,,32767.0,32767.0,90.0
56.618,0.3649374544620514,-1.2836239337921143,-0.22427944839000702,-0.20870697498321533,0.03972987085580826,0.9707750082015991,,,
,,,,,,,32767.0,32767.0,90.0
56.628,1.6715854406356812,-1.5358145236968994,-2.8301148414611816,-0.20947688817977905,0.03585859760642052,0.95987868309021,,,
,,,,,,,32767.0,32767.0,90.0
56.638,2.0326900482177734,-1.1942882537841797,-3.3003411293029785,-0.21615642309188843,0.057820625603199005,0.9462131857872009,,,
,,,,,,,32767.0,32767.0,90.0
56.648,1.2324391603469849,-1.126495122909546,-1.9044934511184692,-0.22921863198280334,0.07988374680280685,0.94088214635849,,,
,,,,,,,32767.0,32767.0,90.0
56.658,-0.6983678340911865,-1.4456614255905151,0.14785835146903992,-0.2327202558517456,0.08287587761878967,0.9406971335411072,,,
,,,,,,,32767.0,32767.0,90.0
56.668,-1.1821527481079102,-1.4611036777496338,1.4182465076446533,-0.2259952872991562,0.06464017927646637,0.9391946792602539,,,
,,,,,,,32767.0,32767.0,90.0
56.678,-0.41575515270233154,-1.4868167638778687,-0.16081008315086365,-0.20788659155368805,0.040031302720308304,0.9522970914840698,,,
,,,,,,,32767.0,32767.0,90.0
56.688,0.5916479825973511,-2.0123956203460693,-1.9510959386825562,-0.19273531436920166,0.023827286437153816,0.9674251675605774,,,
,,,,,,,32767.0,32767.0,90.0
56.698,1.6314456462860107,-2.3597190380096436,-3.256348133087158,-0.18418827652931213,0.03337359428405762,0.9908813834190369,,,
,,,,,,,32767.0,32767.0,90.0
56.708,1.0171257257461548,-2.951784133911133,-2.412364959716797,-0.1854110062122345,0.050919052213430405,1.0057255029678345,,,
,,,,,,,32767.0,32767.0,90.0
56.718,-0.12893837690353394,-3.9117844104766846,0.29292160272598267,-0.18834097683429718,0.060926634818315506,1.0111709833145142,,,
,,,,,,,32767.0,32767.0,90.0
56.728,-1.1475470066070557,-4.741005897521973,1.585692286491394,-0.19114241003990173,0.05502002313733101,0.9998032450675964,,,
,,,,,,,32767.0,32767.0,90.0
56.738,-1.233816146850586,-5.094517707824707,1.7822571992874146,-0.19358377158641815,0.030648501589894295,0.9886869788169861,,,
,,,,,,,32767.0,32767.0,90.0
56.748,-0.3712782859802246,-5.531813144683838,0.4580458700656891,-0.19716547429561615,0.01957629807293415,0.9843007326126099,,,
,,,,,,,32767.0,32767.0,90.0
56.758,0.7373381853103638,-6.117305278778076,-0.7546463012695312,-0.1917814314365387,0.032719772309064865,0.982099711894989,,,
,,,,,,,32767.0,32767.0,90.0
56.768,1.1463018655776978,-5.6057634353637695,-0.6250055432319641,-0.1863071471452713,0.0646829903125763,0.9758965373039246,,,
,,,,,,,32767.0,32767.0,90.0
56.778,0.2276294082403183,-5.499918460845947,2.215503692626953,-0.1843690723180771,0.10165747255086899,0.962819516658783,,,
,,,,,,,32767.0,32767.0,90.0
56.788,-0.9130363464355469,-4.617744445800781,4.7013349533081055,-0.18299339711666107,0.1123407855629921,0.9599075317382812,,,
,,,,,,,32767.0,32767.0,90.0
56.798,-1.0495729446411133,-4.3879289627075195,6.66731595993042,-0.17381198704242706,0.09815018624067307,0.9597461819648743,,,
,,,,,,,32767.0,32767.0,90.0
56.808,-0.3558173179626465,-3.6362273693084717,6.3373918533325195,-0.1603681892156601,0.07965769618749619,0.9568195343017578,,,
,,,,,,,32767.0,32767.0,90.0
56.818,0.8120085000991821,-2.6508901119232178,4.957627773284912,-0.15219801664352417,0.07627420872449875,0.957693874835968,,,
,,,,,,,32767.0,32767.0,90.0
56.828,1.4915326833724976,-2.2760210037231445,5.04346227645874,-0.14935173094272614,0.09836146235466003,0.9678595066070557,,,
,,,,,,,32767.0,32767.0,90.0
56.838,1.3684145212173462,-1.738092064857483,6.881378650665283,-0.14267754554748535,0.12462329864501953,0.973954975605011,,,
,,,,,,,32767.0,32767.0,90.0
56.848,0.499665766954422,-1.152541160583496,9.213521003723145,-0.13569776713848114,0.12903913855552673,0.9714096784591675,,,
,,,,,,,32767.0,32767.0,90.0
56.858,-0.16858354210853577,-0.8569852709770203,10.78683853149414,-0.1286334991455078,0.11213938146829605,0.9708737134933472,,,
,,,,,,,32767.0,32767.0,90.0
56.868,-0.07593109458684921,-0.6225656270980835,10.77468204498291,-0.12116896361112595,0.0821806937456131,0.9735957384109497,,,
,,,,,,,32767.0,32767.0,90.0
56.878,0.5200451612472534,-0.2660296559333801,9.18879222869873,-0.1161998063325882,0.056167349219322205,0.9736225008964539,,,
,,,,,,,32767.0,32767.0,90.0
56.888,1.3467217683792114,0.0354233980178833,7.684561252593994,-0.11309100687503815,0.047493088990449905,0.979189395904541,,,
,,,,,,,32767.0,32767.0,90.0
56.898,1.244355320930481,0.19257953763008118,7.252426624298096,-0.11304894834756851,0.05579235777258873,0.9962316751480103,,,
,,,,,,,32767.0,32767.0,90.0
56.908,0.08668708056211472,0.10249818116426468,7.75779390335083,-0.11827883124351501,0.06635796278715134,1.012521505355835,,,
,,,,,,,32767.0,32767.0,90.0
56.918,-1.124144434928894,0.3616916835308075,8.04887580871582,-0.12603141367435455,0.06509163230657578,1.0182758569717407,,,
,,,,,,,32767.0,32767.0,90.0
56.928,-1.5893946886062622,0.1045103669166565,7.515466690063477,-0.1283300518989563,0.047641023993492126,1.0131756067276,,,
,,,,,,,32767.0,32767.0,90.0
56.938,-1.4998576641082764,0.9697044491767883,5.474276542663574,-0.1301252841949463,0.02698517218232155,1.0055389404296875,,,
,,,,,,,32767.0,32767.0,90.0
56.948,-0.9553346633911133,1.4625276327133179,2.780691146850586,-0.1349625140428543,0.01903565786778927,0.9971405267715454,,,
,,,,,,,32767.0,32767.0,90.0
56.958,-1.2083914279937744,2.182892084121704,0.5918463468551636,-0.14060230553150177,0.02107352204620838,0.9888978600502014,,,
,,,,,,,32767.0,32767.0,90.0
56.968,-2.004040479660034,2.943939208984375,-0.45639923214912415,-0.14642131328582764,0.03115479089319706,0.9853678941726685,,,
,,,,,,,32767.0,32767.0,90.0
56.978,-2.976177930831909,3.029496908187866,-0.06777764856815338,-0.15328283607959747,0.04648046940565109,0.9871869683265686,,,
,,,,,,,32767.0,32767.0,90.0
56.988,-3.444920778274536,3.5765221118927,-0.29430145025253296,-0.15779700875282288,0.0408066101372242,0.9844052791595459,,,
,,,,,,,32767.0,32767.0,90.0
56.998,-3.5599963665008545,4.23166036605835,-2.0731759071350098,-0.16421081125736237,0.02536526694893837,0.9810014963150024,,,
,,,,,,,32767.0,32767.0,90.0
57.008,-2.8226161003112793,4.836298942565918,-3.970350980758667,-0.16479381918907166,0.021243566647171974,0.9793726801872253,,,
,,,,,,,32767.0,32767.0,90.0
57.018,-2.70487380027771,5.3321685791015625,-5.936150550842285,-0.1684337854385376,0.024707430973649025,0.9818626046180725,,,
,,,,,,,32767.0,32767.0,90.0
57.028,-2.3790295124053955,5.79934024810791,-6.464607238769531,-0.1775151491165161,0.043448854237794876,0.9905828833580017,,,
,,,,,,,32767.0,32767.0,90.0
57.038,-3.1093597412109375,5.803612232208252,-6.015625953674316,-0.18530747294425964,0.05386962741613388,0.9868520498275757,,,
,,,,,,,32767.0,32767.0,90.0
57.048,-3.596038579940796,5.9498162269592285,-5.161524295806885,-0.1919804960489273,0.05467616766691208,0.9834607839584351,,,
,,,,,,,32767.0,32767.0,90.0
57.058,-3.7583675384521484,6.204055309295654,-5.012151718139648,-0.19850701093673706,0.05453066527843475,0.9731011390686035,,,
,,,,,,,32767.0,32767.0,90.0
57.068,-2.946754217147827,6.007349014282227,-6.0815629959106445,-0.20595502853393555,0.050341490656137466,0.9661003947257996,,,
,,,,,,,32767.0,32767.0,90.0
57.078,-2.2256391048431396,5.882665634155273,-7.158329010009766,-0.2069881409406662,0.04944494739174843,0.96091228723526,,,
,,,,,,,32767.0,32767.0,90.0
57.088,-1.9304829835891724,5.533584117889404,-7.288788318634033,-0.20625245571136475,0.05941401422023773,0.9578689932823181,,,
,,,,,,,32767.0,32767.0,90.0
57.098,-1.9878596067428589,5.110894680023193,-5.855667591094971,-0.2063797116279602,0.06702816486358643,0.9607768058776855,,,
,,,,,,,32767.0,32767.0,90.0
57.108,-1.371253490447998,3.537968158721924,-2.6099772453308105,-0.2059028148651123,0.08075156062841415,0.9769958257675171,,,
,,,,,,,32767.0,32767.0,90.0
57.118,-2.1417903900146484,3.048837423324585,-1.7973952293395996,-0.19947698712348938,0.04538031667470932,0.9704254269599915,,,
,,,,,,,32767.0,32767.0,90.0
57.128,-1.9477728605270386,2.1608080863952637,-2.492428779602051,-0.18533620238304138,0.034617386758327484,0.9679155349731445,,,
,,,,,,,32767.0,32767.0,90.0
57.138,-1.612202525138855,2.293558359146118,-2.630352258682251,-0.18179509043693542,0.04817657545208931,0.9759299755096436,,,
,,,,,,,32767.0,32767.0,90.0
57.148,-0.9886782765388489,1.2880765199661255,-2.463195562362671,-0.18924404680728912,0.05326637998223305,0.9891160726547241,,,
,,,,,,,32767.0,32767.0,90.0
